cp_hex	char	count	block	category	name
U+679C	果	142	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-679C
U+6094	悔	141	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6094
U+4E3B	主	140	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E3B
U+5316	化	140	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5316
U+5408	合	140	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5408
U+7686	皆	140	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7686
U+529F	功	139	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-529F
U+5C71	山	139	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C71
U+6C23	氣	139	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6C23
U+4E58	乘	136	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E58
U+4EA4	交	135	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EA4
U+82E5	若	134	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-82E5
U+5C65	履	133	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C65
U+5143	元	129	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5143
U+5FB3	徳	129	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5FB3
U+5468	周	128	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5468
U+6BD4	比	127	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6BD4
U+8AF8	諸	127	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8AF8
U+8FAD	辭	127	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8FAD
U+65E3	旣	125	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65E3
U+6848	案	125	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6848
U+7136	然	124	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7136
U+5E2B	師	123	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E2B
U+516B	八	121	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-516B
U+672C	本	121	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-672C
U+4EA1	亡	118	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EA1
U+5E72	干	118	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E72
U+6FDF	濟	118	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6FDF
U+96AA	險	116	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-96AA
U+5148	先	115	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5148
U+8DB3	足	114	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8DB3
U+4F5C	作	111	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F5C
U+6B32	欲	111	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B32
U+53C8	又	110	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53C8
U+6216	或	109	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6216
U+706B	火	109	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-706B
U+98DF	食	109	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-98DF
U+570B	國	108	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-570B
U+767E	百	108	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-767E
U+990A	養	108	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-990A
U+248E5	𤣥	108	CJK Unified Ideographs Extension B	Lo	CJK UNIFIED IDEOGRAPH-248E5
U+5E8F	序	104	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E8F
U+4EA6	亦	102	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EA6
