cp_hex	char	count	block	category	name
U+54C0	哀	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-54C0
U+5599	喙	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5599
U+55C7	嗇	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-55C7
U+566B	噫	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-566B
U+570D	圍	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-570D
U+5712	園	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5712
U+5713	圓	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5713
U+5716	圖	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5716
U+571C	圜	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-571C
U+572D	圭	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-572D
U+5747	均	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5747
U+577C	坼	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-577C
U+57FA	基	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-57FA
U+5831	報	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5831
U+5924	夤	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5924
U+592A	太	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-592A
U+5949	奉	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5949
U+5951	契	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5951
U+596A	奪	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-596A
U+596E	奮	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-596E
U+5999	妙	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5999
U+59A3	妣	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-59A3
U+5ACC	嫌	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5ACC
U+5B5D	孝	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B5D
U+5B78	學	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B78
U+5B85	宅	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B85
U+5B87	宇	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B87
U+5BA3	宣	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BA3
U+5BA5	宥	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BA5
U+5BC2	寂	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BC2
U+5BD8	寘	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BD8
U+5BEC	寬	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BEC
U+5BF6	寶	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BF6
U+5BFA	寺	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5BFA
U+5C08	專	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C08
U+5C0D	對	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C0D
U+5C3A	尺	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C3A
U+5C62	屢	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C62
