cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+6649	晉	475996	U+664B	晋	29937	15.900	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+80F8	胸	136348	U+5308	匈	29853	4.567	kSemanticVariant
U+5F91	徑	135755	U+52C1	勁	29825	4.552	kSpecializedSemanticVariant
U+6F5B	潛	80022	U+6F5C	潜	29576	2.706	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6416	搖	39768	U+63FA	揺	29485	1.349	kZVariant
U+7C97	粗	75164	U+9EA4	麤	29414	2.555	kSemanticVariant
U+9264	鉤	34258	U+920E	鈎	29205	1.173	kSemanticVariant
U+572D	圭	54810	U+73EA	珪	29056	1.886	kSemanticVariant
U+6E1B	減	211882	U+51CF	减	29049	7.294	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+56DE	回	213262	U+5EFB	廻	29004	7.353	kSemanticVariant
U+8FF4	迴	101978	U+5EFB	廻	29004	3.516	kSemanticVariant
U+6B74	歴	140945	U+66C6	曆	28841	4.887	kSemanticVariant
U+6B77	歷	83570	U+66C6	曆	28841	2.898	kSemanticVariant
U+695E	楞	33139	U+7A1C	稜	28427	1.166	kSemanticVariant
U+95CA	闊	34000	U+6FF6	濶	28367	1.199	kSemanticVariant
U+7E5E	繞	61914	U+9076	遶	28268	2.190	kSemanticVariant
U+67CF	柏	77615	U+6822	栢	28245	2.748	kSemanticVariant
U+885D	衝	97704	U+51B2	冲	28128	3.474	kSimplifiedVariant,kTraditionalVariant
U+6C96	沖	40289	U+51B2	冲	28128	1.432	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8853	術	158344	U+672F	术	28125	5.630	kSimplifiedVariant,kTraditionalVariant
U+5408	合	992645	U+95A4	閤	27770	35.745	kSimplifiedVariant,kTraditionalVariant
U+9B4F	魏	320872	U+5DCD	巍	27677	11.593	kSemanticVariant
U+5F9E	從	1405816	U+4ECE	从	27622	50.895	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+518A	冊	70684	U+518C	册	27311	2.588	kSimplifiedVariant,kTraditionalVariant
U+5339	匹	73117	U+758B	疋	26972	2.711	kSemanticVariant
U+5C38	尸	108720	U+5C4D	屍	26469	4.107	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+615A	慚	37852	U+6159	慙	26299	1.439	kSemanticVariant
U+96DE	雞	134358	U+9DC4	鷄	26244	5.120	kSemanticVariant
U+7950	祐	106553	U+4F51	佑	26160	4.073	kSemanticVariant
U+536F	卯	85126	U+5918	夘	26106	3.261	kSpecializedSemanticVariant
U+6734	朴	69459	U+6A38	樸	25958	2.676	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7D50	結	480601	U+63ED	揭	25865	18.581	kSpecializedSemanticVariant
U+639B	掛	27528	U+6302	挂	25791	1.067	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+92BC	銼	64565	U+5249	剉	25748	2.508	kSpecializedSemanticVariant
U+7246	牆	37570	U+58BB	墻	25724	1.461	kSemanticVariant
U+901F	速	136539	U+8E5F	蹟	25679	5.317	kSpecializedSemanticVariant
U+8FF9	迹	97527	U+8E5F	蹟	25679	3.798	kSemanticVariant
U+8DE1	跡	93327	U+8E5F	蹟	25679	3.634	kSemanticVariant
U+755D	畝	54036	U+7546	畆	25114	2.152	kSemanticVariant
U+96E8	雨	503016	U+99AD	馭	25040	20.088	kSpecializedSemanticVariant
U+5FA1	御	464710	U+99AD	馭	25040	18.559	kSemanticVariant,kSpecializedSemanticVariant
U+7F8E	美	272631	U+7F99	羙	24994	10.908	kSemanticVariant
U+71D2	燒	153102	U+7C2B	簫	24741	6.188	kSemanticVariant
U+9762	面	421466	U+9EB5	麵	24646	17.101	kSimplifiedVariant,kTraditionalVariant
U+5411	向	507904	U+56AE	嚮	24609	20.639	kSimplifiedVariant,kTraditionalVariant
U+7F72	署	84041	U+7A4E	穎	24361	3.450	kSpecializedSemanticVariant
U+8CF4	賴	70028	U+983C	頼	24304	2.881	kSemanticVariant
U+7A1F	稟	34487	U+7980	禀	23952	1.440	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6CC4	泄	114785	U+6D29	洩	23889	4.805	kSemanticVariant
U+8AC7	談	106979	U+8B5A	譚	23745	4.505	kSemanticVariant
U+54B8	咸	215024	U+9E79	鹹	23587	9.116	kSimplifiedVariant,kTraditionalVariant
U+5331	匱	32133	U+994B	饋	23529	1.366	kSemanticVariant
U+69E9	槩	25150	U+6982	概	23348	1.077	kSemanticVariant
U+5169	兩	1501881	U+4E24	两	22741	66.043	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5BE6	實	1141903	U+5BD4	寔	22663	50.386	kSemanticVariant
U+7A4E	穎	24361	U+9834	頴	22656	1.075	kSemanticVariant
U+8003	考	318208	U+6537	攷	22642	14.054	kSemanticVariant
U+96CD	雍	130854	U+9095	邕	22621	5.785	kSemanticVariant
U+93AE	鎮	228687	U+93AD	鎭	22367	10.224	kZVariant
U+5F66	彦	72837	U+5F65	彥	22271	3.270	kSimplifiedVariant,kTraditionalVariant
U+6DEB	淫	72598	U+5A6C	婬	22116	3.283	kSemanticVariant
U+5018	倘	29007	U+513B	儻	21983	1.320	kSemanticVariant
U+9041	遁	41796	U+906F	遯	21962	1.903	kSemanticVariant
U+4EC7	仇	35089	U+8B8E	讎	21914	1.601	kSemanticVariant,kSpecializedSemanticVariant
U+72C0	狀	189742	U+72B6	状	21815	8.698	kSimplifiedVariant,kTraditionalVariant
U+6696	暖	51079	U+5A20	娠	21726	2.351	kSpecializedSemanticVariant
U+8C6C	豬	54209	U+732A	猪	21708	2.497	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8655	處	1260165	U+458F	䖏	21629	58.263	kSemanticVariant,kSpecializedSemanticVariant
U+52AB	劫	132929	U+523C	刼	21418	6.206	kSemanticVariant
U+716E	煮	117238	U+7151	煑	21262	5.514	kSemanticVariant
U+985E	類	420079	U+29516	𩔖	21136	19.875	kSemanticVariant,kSpoofingVariant
U+8525	蔥	33094	U+8471	葱	20934	1.581	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+68F2	棲	56084	U+6816	栖	20882	2.686	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6CDB	泛	56808	U+6C4E	汎	20742	2.739	kSemanticVariant
U+6696	暖	51079	U+7156	煖	20253	2.522	kSemanticVariant,kSpecializedSemanticVariant
U+5A20	娠	21726	U+7156	煖	20253	1.073	kSpecializedSemanticVariant
U+7720	眠	78027	U+7DE1	緡	20034	3.895	kSpecializedSemanticVariant
U+5DD6	巖	132377	U+5CA9	岩	19998	6.620	kSemanticVariant
U+7B97	算	52792	U+7B6D	筭	19918	2.650	kSemanticVariant
U+6EBA	溺	57375	U+5C3F	尿	19884	2.885	kSpecializedSemanticVariant
