cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+7C21	簡	231809	U+8015	耕	101482	2.284	kSemanticVariant
U+5CF0	峰	102714	U+5CEF	峯	100102	1.026	kSemanticVariant
U+901F	速	119540	U+8FF9	迹	99878	1.197	kSpecializedSemanticVariant
U+56DE	回	192249	U+8FF4	迴	98744	1.947	kSimplifiedVariant,kTraditionalVariant
U+8C6B	豫	109735	U+9810	預	98191	1.118	kSemanticVariant
U+7159	煙	106372	U+70DF	烟	95854	1.110	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+56DB	四	2785227	U+8086	肆	93876	29.669	kSemanticVariant,kSpecializedSemanticVariant
U+51B5	况	121890	U+6CC1	況	93384	1.305	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+901F	速	119540	U+8DE1	跡	89785	1.331	kSpecializedSemanticVariant
U+8FF9	迹	99878	U+8DE1	跡	89785	1.112	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+81FA	臺	304802	U+53F0	台	86079	3.541	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5F9E	從	1321982	U+4ECE	从	85555	15.452	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+8C37	谷	194470	U+7A40	穀	83409	2.332	kSimplifiedVariant,kTraditionalVariant
U+8FA8	辨	191097	U+8FAF	辯	82405	2.319	kSemanticVariant
U+5FA1	御	471800	U+79A6	禦	81522	5.787	kSimplifiedVariant,kTraditionalVariant
U+6C88	沈	163298	U+6C89	沉	81440	2.005	kSemanticVariant,kSpecializedSemanticVariant
U+91C7	采	122323	U+63A1	採	76791	1.593	kSimplifiedVariant,kTraditionalVariant
U+65C1	旁	98293	U+508D	傍	74260	1.324	kSpecializedSemanticVariant
U+53EA	只	239618	U+7947	祇	73403	3.264	kSpecializedSemanticVariant
U+5341	十	4578888	U+62FE	拾	72611	63.061	kSpecializedSemanticVariant
U+5236	制	552860	U+88FD	製	71442	7.739	kSimplifiedVariant,kTraditionalVariant
U+7159	煙	106372	U+5B8C	完	68727	1.548	kSemanticVariant
U+70DF	烟	95854	U+5B8C	完	68727	1.395	kSemanticVariant
U+501F	借	97379	U+85C9	藉	67168	1.450	kSimplifiedVariant,kTraditionalVariant
U+53C3	參	277136	U+53C5	叅	65333	4.242	kSemanticVariant,kSpecializedSemanticVariant
U+5E76	并	213031	U+4F75	併	64505	3.303	kSimplifiedVariant,kTraditionalVariant
U+5C07	將	1148111	U+7586	疆	63758	18.007	kSpecializedSemanticVariant
U+51C6	准	65726	U+6E96	準	63213	1.040	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+830D	茍	66602	U+82DF	苟	61825	1.077	kSemanticVariant
U+9673	陳	651089	U+9663	陣	60705	10.725	kSpecializedSemanticVariant
