cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+7FA9	義	1303266	U+4E49	义	8108	160.738	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+723E	爾	714860	U+5C14	尔	4456	160.426	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+4671	䙱	320	U+2772D	𧜭	2	160.000	kSimplifiedVariant,kTraditionalVariant
U+69AE	榮	175821	U+8363	荣	1118	157.264	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+3FD7	㿗	628	U+24ECA	𤻊	4	157.000	kSimplifiedVariant,kTraditionalVariant
U+919F	醟	311	U+848F	蒏	2	155.500	kSimplifiedVariant,kTraditionalVariant
U+9873	顳	155	U+989E	颞	1	155.000	kSimplifiedVariant,kTraditionalVariant
U+87C8	蟈	924	U+8748	蝈	6	154.000	kSimplifiedVariant,kTraditionalVariant
U+5629	嘩	307	U+54D7	哗	2	153.500	kSimplifiedVariant,kTraditionalVariant
U+9304	錄	136122	U+5F55	录	888	153.291	kSimplifiedVariant,kTraditionalVariant
U+8811	蠑	299	U+877E	蝾	2	149.500	kSimplifiedVariant,kTraditionalVariant
U+51AC	冬	260253	U+9F15	鼕	1752	148.546	kSimplifiedVariant,kTraditionalVariant
U+865F	號	331729	U+53F7	号	2234	148.491	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+7A31	稱	616497	U+79F0	称	4162	148.125	kSimplifiedVariant,kTraditionalVariant
U+71C8	燈	121259	U+706F	灯	823	147.338	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+908F	邏	10145	U+903B	逻	69	147.029	kSimplifiedVariant,kTraditionalVariant
U+6EEC	滬	1614	U+6CAA	沪	11	146.727	kSimplifiedVariant,kTraditionalVariant
U+563D	嘽	2028	U+5574	啴	14	144.857	kSimplifiedVariant,kTraditionalVariant
U+7CF6	糶	11478	U+7C9C	粜	80	143.475	kSimplifiedVariant,kTraditionalVariant
