var_cp	var_char	reg_cp	reg_char	remarks
U+4E54	乔	U+55AC	喬	src=GB2013,Var-to-Rep
U+4F1F	伟	U+5049	偉	src=GB2013
U+4F20	传	U+50B3	傳	src=GB2013
U+4F18	优	U+512A	優	src=GB2013
U+4F24	伤	U+50B7	傷	src=GB2013
U+4EF7	价	U+50F9	價	src=GB2013
U+4F26	伦	U+502B	倫	src=GB2013
U+534E	华	U+83EF	華	src=GB2013
U+4EFF	仿	U+4EFF,U+5023	仿倣	reverse-dropped:倣→仿 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:仿; multi-target (2); src=GB2013,Var-to-Rep
U+9AE3	髣	U+4EFF,U+5023	仿倣	reg-also-variant-elsewhere:仿; multi-target (2); src=GB2013,Var-to-Rep
U+4F19	伙	U+4F19,U+5925	伙夥	var-also-canonical-elsewhere; reg-also-variant-elsewhere:伙; multi-target (2); src=GB2013
U+4F2A	伪	U+50DE	僞	src=GB2013
U+5411	向	U+5411,U+56AE	向嚮	var-also-canonical-elsewhere; reg-also-variant-elsewhere:向; multi-target (2); src=GB2013
U+66CF	曏	U+56AE	嚮	src=GB2013,Var-to-Rep
U+4F40	佀	U+4F3C	似	src=GB2013,Var-to-Rep
U+540E	后	U+540E,U+5F8C	后後	var-also-canonical-elsewhere; reg-also-variant-elsewhere:后; multi-target (2); src=GB2013
U+4F1A	会	U+6703	會	src=GB2013,Var-to-Rep
U+6740	杀	U+6BBA	殺	src=GB2013
U+5408	合	U+5408,U+95A4	合閤	var-also-canonical-elsewhere; reg-also-variant-elsewhere:合閤; multi-target (2); src=GB2013
U+4F17	众	U+8846	衆	reg-also-variant-elsewhere:衆; src=GB2013
U+7237	爷	U+723A	爺	src=GB2013
U+4F1E	伞	U+5098	傘	src=GB2013
U+20302	𠌂	U+5098	傘	src=GB2013,Var-to-Rep
U+7E56	繖	U+5098	傘	src=GB2013,Var-to-Rep
U+521B	创	U+5275	創	src=GB2013
U+524F	剏	U+5275	創	src=GB2013,Var-to-Rep
U+5259	剙	U+5275	創	src=GB2013,Var-to-Rep
U+6736	朶	U+6735	朵	src=GB2013,Var-to-Rep
U+6742	杂	U+96DC	雜	src=GB2013
U+894D	襍	U+96DC	雜	src=GB2013,Var-to-Rep
U+8D1F	负	U+8CA0	負	src=GB2013
U+58EE	壮	U+58EF	壯	src=GB2013
U+51B2	冲	U+51B2,U+885D,U+6C96	冲衝沖	var-also-canonical-elsewhere; reg-also-variant-elsewhere:冲; multi-target (3); src=GB2013,Var-to-Rep
U+5986	妆	U+599D	妝	src=GB2013
U+7CA7	粧	U+599D	妝	src=GB2013,Var-to-Rep
U+6C37	氷	U+51B0	冰	src=GB2013,Var-to-Rep
U+5E84	庄	U+838A	莊	src=GB2013,Var-to-Rep
U+5E86	庆	U+6176	慶	src=GB2013
U+5218	刘	U+5289	劉	src=GB2013,Var-to-Rep
U+9F50	齐	U+9F4A	齊	src=GB2013,Var-to-Rep
U+4EA7	产	U+7523	産	src=GB2013
U+51B3	决	U+51B3,U+6C7A	决決	reverse-dropped:決→决 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:决; multi-target (2); src=GB2013,Var-to-Rep
U+95ED	闭	U+9589	閉	src=GB2013
U+95EE	问	U+554F	問	src=GB2013
U+95EF	闯	U+95D6	闖	src=GB2013
U+5E76	并	U+5E76,U+4E26	并並	reverse-dropped:並→并 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:并; multi-target (2); src=GB2013,Var-to-Rep
U+4F75	併	U+5E76,U+4E26	并並	reg-also-variant-elsewhere:并; multi-target (2); src=GB2013,Var-to-Rep
U+7ADD	竝	U+5E76,U+4E26	并並	reg-also-variant-elsewhere:并; multi-target (2); src=GB2013,Var-to-Rep
U+5173	关	U+95DC	關	src=GB2013
U+706F	灯	U+71C8	燈	src=GB2013,Var-to-Rep
U+6C61	污	U+6C61,U+6C59	污汙	reverse-dropped:汙→污 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:污; multi-target (2); src=GB2013,Var-to-Rep
U+6C5A	汚	U+6C61,U+6C59	污汙	reg-also-variant-elsewhere:污; multi-target (2); src=GB2013,Var-to-Rep
U+6C64	汤	U+6E6F	湯	src=GB2013
U+5174	兴	U+8208	興	src=GB2013
U+8BB2	讲	U+8B1B	講	src=GB2013
U+8BB3	讳	U+8AF1	諱	src=GB2013
U+519B	军	U+8ECD	軍	src=GB2013
U+8BB6	讶	U+8A1D	訝	src=GB2013
U+8BB8	许	U+8A31	許	src=GB2013
U+8BB9	讹	U+8A1B	訛	src=GB2013
U+8B4C	譌	U+8A1B	訛	src=GB2013,Var-to-Rep
U+8BBA	论	U+8AD6	論	src=GB2013
U+8BBC	讼	U+8A1F	訟	src=GB2013
U+519C	农	U+8FB2	農	src=GB2013
U+8FB3	辳	U+8FB2	農	src=GB2013,Var-to-Rep
U+8BBD	讽	U+8AF7	諷	src=GB2013
U+8BBE	设	U+8A2D	設	src=GB2013
U+8BBF	访	U+8A2A	訪	src=GB2013
U+8BC0	诀	U+8A23	訣	src=GB2013
U+5BFB	寻	U+5C0B	尋	src=GB2013
U+21B36	𡬶	U+5C0B	尋	src=GB2013,Var-to-Rep
U+5C3D	尽	U+76E1,U+5118	盡儘	multi-target (2); src=GB2013,Var-to-Rep
U+5BFC	导	U+5C0E	導	src=GB2013
U+5F02	异	U+5F02,U+7570	异異	reverse-dropped:異→异 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:异; multi-target (2); src=GB2013,Var-to-Rep
U+5B59	孙	U+5B6B	孫	src=GB2013
U+9635	阵	U+9663	陣	reg-also-variant-elsewhere:陣; src=GB2013
U+9633	阳	U+967D	陽	src=GB2013,Var-to-Rep
U+9636	阶	U+968E	階	src=GB2013
U+5826	堦	U+968E	階	src=GB2013,Var-to-Rep
U+9634	阴	U+9670	陰	src=GB2013,Var-to-Rep
U+9682	隂	U+9670	陰	src=GB2013,Var-to-Rep
U+5978	奸	U+5978,U+59E6	奸姦	reverse-dropped:姦→奸 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:奸; multi-target (2); src=GB2013,Var-to-Rep
U+5987	妇	U+5A66	婦	src=GB2013
U+5A8D	媍	U+5A66	婦	src=GB2013,Var-to-Rep
U+5988	妈	U+5ABD	媽	src=GB2013
U+620F	戏	U+6232	戲	src=GB2013
U+622F	戯	U+6232	戲	src=GB2013,Var-to-Rep
U+89C2	观	U+89C0	觀	src=GB2013
U+6B22	欢	U+6B61	歡	src=GB2013,Var-to-Rep
U+61FD	懽	U+6B61	歡	src=GB2013,Var-to-Rep
U+8B99	讙	U+6B61	歡	src=GB2013,Var-to-Rep
U+9A69	驩	U+6B61	歡	src=GB2013,Var-to-Rep
U+4E70	买	U+8CB7	買	src=GB2013
U+7EA2	红	U+7D05	紅	src=GB2013
U+9A6E	驮	U+99B1	馱	src=GB2013
U+4B7E	䭾	U+99B1	馱	src=GB2013,Var-to-Rep
U+7EA4	纤	U+7E34,U+7E96	縴纖	multi-target (2); src=GB2013
U+9A6F	驯	U+99B4	馴	src=GB2013
U+7EA6	约	U+7D04	約	src=GB2013
U+7EA7	级	U+7D1A	級	src=GB2013
U+7EAA	纪	U+7D00	紀	src=GB2013
U+9A70	驰	U+99B3	馳	src=GB2013
U+7EAB	纫	U+7D09	紉	src=GB2013
U+5EF5	廵	U+5DE1	巡	src=GB2013,Var-to-Rep
U+5BFF	寿	U+58FD	壽	src=GB2013,Var-to-Rep
U+6335	挵	U+5F04	弄	src=GB2013,Var-to-Rep
U+8856	衖	U+5F04	弄	src=GB2013,Var-to-Rep
U+9EA6	麦	U+9EA5	麥	src=GB2013
U+739B	玛	U+746A	瑪	src=GB2013
U+8FDB	进	U+9032	進	src=GB2013
U+8FDC	远	U+9060	遠	src=GB2013,Var-to-Rep
U+8FDD	违	U+9055	違	src=GB2013
U+97E7	韧	U+97CC	韌	src=GB2013
U+976D	靭	U+97CC	韌	src=GB2013,Var-to-Rep
U+9771	靱	U+97CC	韌	src=GB2013,Var-to-Rep
U+8FD0	运	U+904B	運	src=GB2013
U+629A	抚	U+64AB	撫	src=GB2013
U+575B	坛	U+58C7,U+7F4E	壇罎	reg-also-variant-elsewhere:罎; multi-target (2); src=GB2013,Var-to-Rep
U+58DC	壜	U+7F4E,U+7F48	罎罈	reg-also-variant-elsewhere:罎; multi-target (2); src=GB2013,Var-to-Rep
U+574F	坏	U+58DE	壞	var-also-canonical-elsewhere; src=GB2013
U+62A0	抠	U+6473	摳	src=GB2013
U+6270	扰	U+64FE	擾	src=GB2013
U+6424	搤	U+627C	扼	src=GB2013,Var-to-Rep
U+962F	阯	U+5740	址	src=GB2013,Var-to-Rep
U+64A6	撦	U+626F	扯	src=GB2013,Var-to-Rep
U+8D21	贡	U+8CA2	貢	src=GB2013
U+575D	坝	U+57BB,U+58E9	垻壩	reg-also-variant-elsewhere:垻; multi-target (2); src=GB2013
U+6298	折	U+6298,U+647A	折摺	var-also-canonical-elsewhere; reg-also-variant-elsewhere:折; multi-target (2); src=GB2013
U+62A1	抡	U+6384	掄	src=GB2013
U+62A2	抢	U+6436	搶	src=GB2013
U+57F3	埳	U+574E	坎	src=GB2013,Var-to-Rep
U+575F	坟	U+58B3	墳	src=GB2013,Var-to-Rep
U+962C	阬	U+5751	坑	src=GB2013,Var-to-Rep
U+62A4	护	U+8B77	護	src=GB2013
U+58F3	壳	U+6BBB,U+6BBC	殻殼	reg-also-variant-elsewhere:殻; multi-target (2); src=GB2013,Var-to-Rep
U+8A8C	誌	U+5FD7	志	src=GB2013,Var-to-Rep
U+5757	块	U+584A	塊	src=GB2013
U+58F0	声	U+8072	聲	src=GB2013,Var-to-Rep
U+62A5	报	U+5831	報	src=GB2013,Var-to-Rep
U+62DF	拟	U+64EC	擬	src=GB2013
U+5117	儗	U+64EC	擬	src=GB2013,Var-to-Rep
U+5374	却	U+5374,U+537B	却卻	reverse-dropped:卻→却 (Var-to-Rep preferred over GB2013); var-also-canonical-elsewhere; reg-also-variant-elsewhere:却; multi-target (2); src=GB2013,Var-to-Rep
U+3541	㕁	U+5374,U+537B	却卻	reg-also-variant-elsewhere:却; multi-target (2); src=GB2013,Var-to-Rep
U+5226	刦	U+52AB	劫	src=GB2013,Var-to-Rep
U+5227	刧	U+52AB	劫	src=GB2013,Var-to-Rep
