replace	cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types	major_sources	minor_sources
yes	U+8B49	證	268762	U+8BC1	证	3	89587.333	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7F77	罷	179080	U+7F62	罢	2	89540.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GJKpT3/AG
yes	U+8B01	謁	84871	U+8C12	谒	1	84871.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/CG
yes	U+6E6F	湯	254399	U+6C64	汤	3	84799.667	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9055	違	167721	U+8FDD	违	2	83860.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+53B2	厲	83824	U+5386	历	1	83824.000	kSemanticVariant	GHJKpKT1V/ATJHMP	GT3/AG
yes	U+8A2D	設	331234	U+8BBE	设	4	82808.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+8FAF	辯	82405	U+8FA9	辩	1	82405.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATHKMP	G/AG
yes	U+9A45	驅	81051	U+9A71	驱	1	81051.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
yes	U+5834	場	78991	U+573A	场	1	78991.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7F70	罰	78966	U+7F5A	罚	1	78966.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7FD2	習	235221	U+4E60	习	3	78407.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+99D0	駐	76729	U+9A7B	驻	1	76729.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+982D	頭	525705	U+5934	头	7	75100.714	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHT3/AG
yes	U+6B78	歸	969163	U+5F52	归	13	74551.000	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	GJKpT3/AG
yes	U+8CAA	貪	142587	U+8D2A	贪	2	71293.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7DF4	練	69942	U+7EC3	练	1	69942.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8CA8	貨	69898	U+8D27	货	1	69898.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+582F	堯	138934	U+5C27	尧	2	69467.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9EBC	麼	207945	U+5E85	庅	3	69315.000	kSemanticVariant	GHJKpKT1/ATHM	GT3
yes	U+7A81	突	69101	U+2592E	𥤮	1	69101.000	kSpoofingVariant	GHJKpKT1V/AGTJHKMP	GT3
yes	U+9AEE	髮	68439	U+53D1	发	1	68439.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATHKMP	GH/AG
yes	U+6FDF	濟	339390	U+6D4E	济	5	67878.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATHKMP	GHKp/AG
yes	U+8CE6	賦	400710	U+8D4B	赋	6	66785.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+898B	見	2400544	U+89C1	见	36	66681.778	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+9818	領	262214	U+9886	领	4	65553.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9951	饑	65111	U+9965	饥	1	65111.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
yes	U+7169	煩	193453	U+70E6	烦	3	64484.333	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7BE4	篤	64247	U+7B03	笃	1	64247.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/CG
yes	U+7E3D	總	378012	U+603B	总	6	63002.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+7E3E	績	62518	U+7EE9	绩	1	62518.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8A1F	訟	62084	U+8BBC	讼	1	62084.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+528D	劍	61065	U+5251	剑	1	61065.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
yes	U+8CB4	貴	360821	U+8D35	贵	6	60136.833	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7E5E	繞	58874	U+7ED5	绕	1	58874.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+66E0	曠	57788	U+65F7	旷	1	57788.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+984C	題	284530	U+9898	题	5	56906.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9CE5	鳥	225539	U+9E1F	鸟	4	56384.750	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+5FC3	心	2242330	U+5FC4	忄	40	56058.250	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GHJKT4
yes	U+651D	攝	220628	U+6444	摄	4	55157.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8CA1	財	164954	U+8D22	财	3	54984.667	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9803	頃	107385	U+9877	顷	2	53692.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8996	視	318197	U+89C6	视	6	53032.833	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+7A4D	積	262479	U+79EF	积	5	52495.800	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GJ/AG
yes	U+6B77	歷	51848	U+5386	历	1	51848.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	GT3/AG
yes	U+99B3	馳	102781	U+9A70	驰	2	51390.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+96B4	隴	51269	U+9647	陇	1	51269.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHM	G/AG
yes	U+8CAC	責	153591	U+8D23	责	3	51197.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7ABA	窺	50087	U+7AA5	窥	1	50087.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+8FB2	農	149084	U+519C	农	3	49694.667	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+4EBA	人	7170214	U+4EBB	亻	145	49449.752	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GHJK
yes	U+7DB1	綱	98802	U+7EB2	纲	2	49401.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
