namespace	entity	count
kr	&KR1931;	77
kr	&KR1490;	77
kr	&KR1285;	77
kr	&KR0228;	77
kr	&KR2100;	77
kr	&KR2301;	76
kr	&KR1489;	76
kr	&KR2212;	76
kr	&KR1437;	76
kr	&KR2190;	76
kr	&KR1637;	76
kr	&KR1436;	76
kr	&KR2617;	76
kr	&KR1821;	76
kr	&KR1523;	76
kr	&KR0208;	76
kr	&KR0322;	76
kr	&KR2497;	76
kr	&KR2140;	76
kr	&KR1550;	76
kr	&KR2640;	75
kr	&KR1412;	75
kr	&KR1518;	75
kr	&KR1611;	75
kr	&KR1460;	75
kr	&KR1343;	75
kr	&KR1451;	75
kr	&KR0424;	75
kr	&KR1910;	75
kr	&KR0268;	75
kr	&KR2392;	75
kr	&KR1441;	74
kr	&KR1820;	74
kr	&KR1668;	74
kr	&KR1399;	74
kr	&KR1571;	74
kr	&KR1639;	74
kr	&KR1456;	74
kr	&KR2101;	74
kr	&KR1505;	74
kr	&KR1686;	74
kr	&KR1479;	74
kr	&KR0147;	74
kr	&KR1696;	74
kr	&KR2577;	74
kr	&KR0555;	74
kr	&KR1867;	74
kr	&KR1216;	74
kr	&KR1738;	73
kr	&KR1856;	73
kr	&KR3004;	73
kr	&KR1444;	73
kr	&KR1539;	73
kr	&KR1303;	73
kr	&KR1634;	73
kr	&KR2027;	73
kr	&KR2119;	73
kr	&KR1597;	73
kr	&KR2331;	73
kr	&KR0432;	73
kr	&KR1607;	72
kr	&KR1476;	72
kr	&KR1776;	72
kr	&KR1492;	72
kr	&KR1491;	72
kr	&KR2046;	72
kr	&KR1522;	72
kr	&KR1453;	72
kr	&KR1565;	72
kr	&KR2466;	72
kr	&KR1750;	72
kr	&KR1346;	72
kr	&KR1711;	72
kr	&KR0197;	72
kr	&KR1823;	72
kr	&KR1409;	71
kr	&KR1503;	71
kr	&KR1529;	71
kr	&KR1655;	71
kr	&KR1531;	71
kr	&KR1473;	71
kr	&KR1994;	71
kr	&KR0531;	71
kr	&KR1413;	70
kr	&KR2433;	70
kr	&KR1596;	70
kr	&KR1691;	70
kr	&KR2292;	70
kr	&KR1324;	70
kr	&KR1499;	70
kr	&KR1619;	70
kr	&KR1480;	70
kr	&KR1440;	70
kr	&KR2193;	70
kr	&KR1683;	70
kr	&KR0411;	70
kr	&KR1402;	69
kr	&KR1421;	69
kr	&KR1493;	69
kr	&KR1471;	69
kr	&KR1467;	69
kr	&KR1709;	69
kr	&KR2128;	69
kr	&KR2305;	69
kr	&KR1872;	69
kr	&KR1427;	69
kr	&KR1590;	69
kr	&KR1541;	69
kr	&KR1980;	69
kr	&KR1846;	69
kr	&KR2486;	69
kr	&KR2104;	69
kr	&KR1552;	69
kr	&KR1484;	69
kr	&KR1702;	69
kr	&KR2575;	69
kr	&KR2051;	69
kr	&KR2221;	68
kr	&KR1747;	68
kr	&KR1508;	68
kr	&KR1442;	68
kr	&KR2639;	68
kr	&KR1574;	68
kr	&KR1472;	68
kr	&KR1576;	68
kr	&KR1547;	68
kr	&KR0258;	68
kr	&KR0049;	68
kr	&KR1572;	68
kr	&KR1331;	68
kr	&KR2346;	68
kr	&KR1830;	67
kr	&KR1609;	67
kr	&KR1663;	67
kr	&KR1967;	67
kr	&KR2202;	67
kr	&KR1483;	67
kr	&KR2342;	67
kr	&KR1575;	67
kr	&KR1849;	67
kr	&KR1553;	67
kr	&KR1551;	67
kr	&KR1459;	67
kr	&KR1604;	67
kr	&KR1845;	67
kr	&KR1509;	67
kr	&KR1791;	67
kr	&KR1843;	67
kr	&KR1915;	67
kr	&KR0009;	67
kr	&KR0737;	67
kr	&KR1855;	67
kr	&KR2971;	67
kr	&KR1640;	66
kr	&KR1620;	66
kr	&KR1661;	66
kr	&KR1486;	66
kr	&KR1458;	66
kr	&KR1633;	66
